Erro quadrático Médio: 0.087163796420211
Likelihood: -40.31347779677544
Original [-0.7024477] 	 Predição [-0.6321585]
Original [0.0131345] 	 Predição [0.03097234]
Original [0.999655] 	 Predição [1.04702874]
Original [-0.9986201] 	 Predição [-0.86284285]
Original [-0.9944842] 	 Predição [-0.71150579]
Original [-0.9779978] 	 Predição [-0.94566658]
Original [-0.9129594] 	 Predição [-0.87717527]
Original [-0.6669898] 	 Predição [-0.65249074]
Original [0.1102493] 	 Predição [0.101433]
Original [0.9756902] 	 Predição [0.96226182]
Original [-0.7811937] 	 Predição [-0.88761047]
Original [0.7368374] 	 Predição [-0.17534368]
Original [-0.7920459] 	 Predição [-0.24916554]
Original [0.6854684] 	 Predição [0.74129589]
Original [-0.6613866] 	 Predição [-0.65002884]
Original [0.7413643] 	 Predição [0.658377]
Original [-0.704547] 	 Predição [-0.71773768]
Original [0.3774754] 	 Predição [0.7875529]
Original [-0.5027848] 	 Predição [-0.23114246]
Original [0.8011111] 	 Predição [0.41231426]
Original [-0.9508619] 	 Predição [-0.81486711]
Original [0.8028059] 	 Predição [0.70205268]
Original [-0.9034285] 	 Predição [-0.66876759]
Original [0.8607385] 	 Predição [0.52238082]
Original [-0.6614806] 	 Predição [-0.7974904]
Original [0.785818] 	 Predição [0.63276446]
Original [-0.4361511] 	 Predição [-0.71815562]
Original [0.3226026] 	 Predição [0.42037398]
Original [-0.1527395] 	 Predição [-0.03397547]
Original [-0.0565727] 	 Predição [0.32574363]
Original [-0.3412753] 	 Predição [0.09262166]
Original [0.5894084] 	 Predição [0.32040355]
Original [-0.5012277] 	 Predição [-0.72788562]
Original [0.6487506] 	 Predição [0.66350182]
Original [-0.4689965] 	 Predição [-0.50525178]
Original [0.5276395] 	 Predição [0.40422281]
Original [-0.5677613] 	 Predição [-0.35320499]
Original [0.6190836] 	 Predição [0.60723258]
Original [-0.6698887] 	 Predição [-0.54706339]
Original [0.8045157] 	 Predição [0.68355602]
Original [-0.7249241] 	 Predição [-0.72565413]
Original [0.8473998] 	 Predição [0.67213251]
Original [-0.8152188] 	 Predição [-0.71922591]
Original [0.8579265] 	 Predição [0.64782878]
Original [-0.7456999] 	 Predição [-0.73228293]
Original [0.4332947] 	 Predição [0.6327375]
Original [-0.1571134] 	 Predição [-0.33036378]
Original [0.4925754] 	 Predição [0.27671959]
Original [-0.0074507] 	 Predição [-0.6010907]
Original [0.2592872] 	 Predição [0.3004288]
Original [0.0847288] 	 Predição [0.57379885]
Original [-0.3684163] 	 Predição [0.60614892]
Original [0.2792789] 	 Predição [0.44672008]
Original [-0.2652216] 	 Predição [-0.15534602]
Original [0.214071] 	 Predição [0.11489114]
Original [-0.0465331] 	 Predição [-0.2510526]
Original [-0.0173795] 	 Predição [-0.02854268]
Original [0.6699269] 	 Predição [-0.01538059]
Original [-0.3628347] 	 Predição [-0.77127067]
Original [0.5387465] 	 Predição [0.52440851]
Original [-0.6997664] 	 Predição [0.06212742]
Original [0.5729174] 	 Predição [0.66625236]
Original [-0.5628721] 	 Predição [-0.45917322]
Original [0.5500471] 	 Predição [0.49498261]
Original [-0.7807629] 	 Predição [-0.56652118]
